name,bio,follower_count,tweet_text,tweet_id,fav_count,rt_count,in_reply_to,mentions,is_retweet,is_quote,hashtags,emojicons,time
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"On peut voter dès 16 ans à la primaire écologiste et il ne faut plus perdre de temps pour s’y inscrire !
👉 https://t.co/rUuGfmTuYK #2022lecologie https://t.co/A7Rg7SKcFO",1434212300442030081,82,25,,,False,True,2022lecologie,:backhand_index_pointing_right:,2021-09-04 17:50:33
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @2022lecologie: Ce lundi @yjadot sera à Rennes aux côtés des élu-es.
« Ma radicalité, c’est qu’on gagne l’élection présidentielle et que…",1434209950956408837,0,21,,"2022lecologie, yjadot",True,False,,,2021-09-04 17:41:13
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @2022lecologie: [Primaire de l’écologie 🌻]
Pour @LerayJudith, conseillère départementale en Loire-Atlantique, c’est @yjadot ! 
Participe…",1434209896808034305,0,11,,"2022lecologie, LerayJudith, yjadot",True,False,,:sunflower:,2021-09-04 17:41:00
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @marietouss1: La fin du plastique, c'est bien et c'est urgent.

La fin du pétrole, du cuivre et du zinc en mer,
La fin de la surpeche, a…",1434135788401397773,0,29,,marietouss1,True,True,,,2021-09-04 12:46:31
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"Merci Matthieu de ton soutien et de ta confiance. Et oui, notre responsabilité est immense et collective ! https://t.co/JndV3kXsze",1434084838189973504,151,65,,,False,True,,,2021-09-04 09:24:04
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @2022lecologie: [Primaire de l’écologie 🌻]
Pour Stéphanie Dembak @stefdbk , adjointe au maire du 19e arrondissement de Paris, c’est @yja…",1433840832117940241,0,21,,"2022lecologie, stefdbk",True,False,,:sunflower:,2021-09-03 17:14:28
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"@lemouvementinfo @EELV @manureynaud @coralie_mantion @MDelafosse 🌎🌻🥇
👉 dès 16 ans
👉 en deux minutes ⏱
👉 participation de 2 euros 
➡️ https://t.co/rUuGfmTuYK",1433481509286162437,1,0,lemouvementinfo,"lemouvementinfo, EELV, manureynaud, coralie_mantion, MDelafosse",False,False,,":globe_showing_Americas:, :sunflower:, :1st_place_medal:, :backhand_index_pointing_right:, :backhand_index_pointing_right:, :stopwatch:, :backhand_index_pointing_right:, :right_arrow:",2021-09-02 17:26:39
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @JaklineM: Dans les rues de #Montpellier @yjadot en campagne pour la #primaire de l’écologie :
« On ne transige pas avec le vivant, avec…",1433480018064121867,0,10,,"JaklineM, yjadot",True,True,"Montpellier, primaire",,2021-09-02 17:20:43
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"Une fois encore, exilé•e•s et associations allié•e•s sont contraint•e•s d'installer un campement, cette fois au parc André Citroën : qu'est-ce qu'on attend pour répondre à une crise de l'accueil indigne de notre République ? https://t.co/gLepSYZLJH",1433462910785884165,53,17,,,False,True,,,2021-09-02 16:12:45
Yannick Jadot,Candidat à l'élection présidentielle #2022lecologie 🇫🇷 - Eurodéputé écologiste 🌎 @euroecolos - Photos et story 🌻 sur https://t.co/k0GBiRI7ho,78134,"RT @2022lecologie: ""Il faut comme le réclame le maire de Marseille un parquet spécial pour Marseille. Il faut rattraper 25 ans d'abandon de…",1433455322438508544,0,11,,2022lecologie,True,False,,,2021-09-02 15:42:35
