candidate,content_type,channel_id,channel_title,video_id,video_title,video_description,upload_date,duration,interviewer_questions,candidate_answers
melenchon,interview,UCk-_PEY3iC6DIGJKuoEe9bw,JEAN-LUC MÉLENCHON,Rd_GGFHi-x0,Présidentielle 2022 : «Je propose ma candidature»,"« Oui, je suis prêt : je propose ma candidature ». C’est par ces mots que Jean-Luc Mélenchon a annoncé sa décision concernant l’élection présidentielle de 2022 au journal télévisé de 20h de TF1, ce dimanche 8 novembre 2020.

Une investiture populaire

Il a immédiatement assorti cette proposition de candidature d’une « condition » : celle de réunir une « investiture populaire ». Il s’agit, comme il l’a expliqué, de recueillir 150 000 parrainages citoyens. Le Président du groupe parlementaire La France Insoumise avait récemment déposé une proposition de loi à l’Assemblée nationale pour ouvrir à 150 000 personnes inscrites sur les listes électorales la possibilité de sélectionner les candidats à l’élection présidentielle, un droit réservé pour l’instant à 500 élus.

Une proposition que Jean-Luc Mélenchon a donc décidé de s’appliquer à lui même. Un site internet, « https://noussommespour.fr » a été ouvert pour permettre cette collecte de signatures. Sur TF1, l’insoumis a appelé ses soutiens à s’y rendre pour remplir le formulaire de parrainage.

Un programme de gouvernement

L’autre atout sur lequel Jean-Luc Mélenchon dit vouloir s’appuyer, c’est son programme. Une nouvelle version de l’Avenir en Commun a été mise en ligne sur le site « noussommespour.fr». Elle est ouverte aux contributions individuelles. Il est vrai que ce document avait déjà réunit 7 millions de voix dans la précédente élection présidentielle de 2017.

Depuis, il a aussi été le fil conducteur pour les 17 députés insoumis à l’Assemblée nationale et les 6 députés européens. Au cours de l’actuel quinquennat, l’Avenir en Commun a été décliné en 80 propositions de loi, 4 contre-budgets et plusieurs milliers d’amendements. De quoi conforter son statut de solide programme de gouvernement.

Se projeter sur l’avenir

Le leader insoumis a clairement donné un ton d’optimisme à sa campagne qui débute. S’il est apparu très conscient des graves problèmes traversés par le pays, comme l’épidémie de coronavirus, il a aussi déclaré vouloir aider les français à « se projeter sur l’avenir ». Pas question de peindre noir sur noir, Jean-Luc Mélenchon veut « déconfiner les esprits » et montrer « qu’il peut y avoir un bout au tunnel en vue », à l’aide de ses propositions phares comme la 6ème République ou la planification écologique. Lui qui, selon les sondages, est le mieux placé pour perturber le duo Macron/Le Pen a fustigé les deux comme des « variantes d’une vision autoritaires de l’Etat et de la société ».

Après son intervention sur TF1, Jean-Luc Mélenchon a prévu d’apparaitre dans un échange avec le public sur les réseaux sociaux (Twitch, Facebook, Youtube, Twitter, Instagram, TikTok).",2020-11-09 09:33:19,6:22,Bonsoir Jean-Luc Mélenchon.,Bonsoir.
melenchon,interview,UCk-_PEY3iC6DIGJKuoEe9bw,JEAN-LUC MÉLENCHON,Rd_GGFHi-x0,Présidentielle 2022 : «Je propose ma candidature»,"« Oui, je suis prêt : je propose ma candidature ». C’est par ces mots que Jean-Luc Mélenchon a annoncé sa décision concernant l’élection présidentielle de 2022 au journal télévisé de 20h de TF1, ce dimanche 8 novembre 2020.

Une investiture populaire

Il a immédiatement assorti cette proposition de candidature d’une « condition » : celle de réunir une « investiture populaire ». Il s’agit, comme il l’a expliqué, de recueillir 150 000 parrainages citoyens. Le Président du groupe parlementaire La France Insoumise avait récemment déposé une proposition de loi à l’Assemblée nationale pour ouvrir à 150 000 personnes inscrites sur les listes électorales la possibilité de sélectionner les candidats à l’élection présidentielle, un droit réservé pour l’instant à 500 élus.

Une proposition que Jean-Luc Mélenchon a donc décidé de s’appliquer à lui même. Un site internet, « https://noussommespour.fr » a été ouvert pour permettre cette collecte de signatures. Sur TF1, l’insoumis a appelé ses soutiens à s’y rendre pour remplir le formulaire de parrainage.

Un programme de gouvernement

L’autre atout sur lequel Jean-Luc Mélenchon dit vouloir s’appuyer, c’est son programme. Une nouvelle version de l’Avenir en Commun a été mise en ligne sur le site « noussommespour.fr». Elle est ouverte aux contributions individuelles. Il est vrai que ce document avait déjà réunit 7 millions de voix dans la précédente élection présidentielle de 2017.

Depuis, il a aussi été le fil conducteur pour les 17 députés insoumis à l’Assemblée nationale et les 6 députés européens. Au cours de l’actuel quinquennat, l’Avenir en Commun a été décliné en 80 propositions de loi, 4 contre-budgets et plusieurs milliers d’amendements. De quoi conforter son statut de solide programme de gouvernement.

Se projeter sur l’avenir

Le leader insoumis a clairement donné un ton d’optimisme à sa campagne qui débute. S’il est apparu très conscient des graves problèmes traversés par le pays, comme l’épidémie de coronavirus, il a aussi déclaré vouloir aider les français à « se projeter sur l’avenir ». Pas question de peindre noir sur noir, Jean-Luc Mélenchon veut « déconfiner les esprits » et montrer « qu’il peut y avoir un bout au tunnel en vue », à l’aide de ses propositions phares comme la 6ème République ou la planification écologique. Lui qui, selon les sondages, est le mieux placé pour perturber le duo Macron/Le Pen a fustigé les deux comme des « variantes d’une vision autoritaires de l’Etat et de la société ».

Après son intervention sur TF1, Jean-Luc Mélenchon a prévu d’apparaitre dans un échange avec le public sur les réseaux sociaux (Twitch, Facebook, Youtube, Twitter, Instagram, TikTok).",2020-11-09 09:33:19,6:22,"Merci beaucoup d'avoir accepté notre invitation. On l’a vu, la tension augmente dans les hôpitaux et dans le même temps on sent bien que ce nouveau confinement est mal accepté par les Français. On a vu la fronde des commerçants. Qu'est-ce que le gouvernement n'a pas bien fait ? ","Bon, ils n’ont tiré aucune leçon du précédent confinement. Et puis la 2ème vague est sévère, il faut le dire aux gens. L'épidémie, c'est grave. Ce n'est pas une petite maladie qu'on a là, donc respectez les gestes barrières. Mais après ça, on voit bien que c'est la pagaille parce que l'incohérence des ordres et des contre-ordres a abouti à ce résultat que les gens ont l'impression que l'on respecte ou non les consignes, ce n’est pas très grave.Et puis il y a des situations où on est arrivés au bout de la vie quoi, que ce soit pour le commerce de proximité, les pratiques culturelles, l'école où ça semble être la pagaille partout. Il y a beaucoup de souffrance et je crois que malheureusement, comme on nous annonce une 3ème et même une 4ème vague, il faut qu'on commence à réfléchir, mais cette fois-ci qu'on réfléchisse avant et sérieusement à des alternatives au confinement.Écoutez, là on vient de voter l'état d'urgence sanitaire, il y en a pour 6 mois. On ne va pas laisser la France confinée pendant des années, parce que notre société va s'effondrer si on met la France en prison pendant des mois. Donc il faut toujours prévoir, planifier, organiser à l'avance, pas attendre la dernière minute, et surtout arrêter de croire que les choses vont se faire toutes seules.Je crains que c'est ce qu'a fait le gouvernement : il n'a pas planifié. Voilà, c'est tout. Et donc c'est la pagaille.Alors manifestement, vous pensez que vous pourriez faire mieux. "
melenchon,interview,UCk-_PEY3iC6DIGJKuoEe9bw,JEAN-LUC MÉLENCHON,Rd_GGFHi-x0,Présidentielle 2022 : «Je propose ma candidature»,"« Oui, je suis prêt : je propose ma candidature ». C’est par ces mots que Jean-Luc Mélenchon a annoncé sa décision concernant l’élection présidentielle de 2022 au journal télévisé de 20h de TF1, ce dimanche 8 novembre 2020.

Une investiture populaire

Il a immédiatement assorti cette proposition de candidature d’une « condition » : celle de réunir une « investiture populaire ». Il s’agit, comme il l’a expliqué, de recueillir 150 000 parrainages citoyens. Le Président du groupe parlementaire La France Insoumise avait récemment déposé une proposition de loi à l’Assemblée nationale pour ouvrir à 150 000 personnes inscrites sur les listes électorales la possibilité de sélectionner les candidats à l’élection présidentielle, un droit réservé pour l’instant à 500 élus.

Une proposition que Jean-Luc Mélenchon a donc décidé de s’appliquer à lui même. Un site internet, « https://noussommespour.fr » a été ouvert pour permettre cette collecte de signatures. Sur TF1, l’insoumis a appelé ses soutiens à s’y rendre pour remplir le formulaire de parrainage.

Un programme de gouvernement

L’autre atout sur lequel Jean-Luc Mélenchon dit vouloir s’appuyer, c’est son programme. Une nouvelle version de l’Avenir en Commun a été mise en ligne sur le site « noussommespour.fr». Elle est ouverte aux contributions individuelles. Il est vrai que ce document avait déjà réunit 7 millions de voix dans la précédente élection présidentielle de 2017.

Depuis, il a aussi été le fil conducteur pour les 17 députés insoumis à l’Assemblée nationale et les 6 députés européens. Au cours de l’actuel quinquennat, l’Avenir en Commun a été décliné en 80 propositions de loi, 4 contre-budgets et plusieurs milliers d’amendements. De quoi conforter son statut de solide programme de gouvernement.

Se projeter sur l’avenir

Le leader insoumis a clairement donné un ton d’optimisme à sa campagne qui débute. S’il est apparu très conscient des graves problèmes traversés par le pays, comme l’épidémie de coronavirus, il a aussi déclaré vouloir aider les français à « se projeter sur l’avenir ». Pas question de peindre noir sur noir, Jean-Luc Mélenchon veut « déconfiner les esprits » et montrer « qu’il peut y avoir un bout au tunnel en vue », à l’aide de ses propositions phares comme la 6ème République ou la planification écologique. Lui qui, selon les sondages, est le mieux placé pour perturber le duo Macron/Le Pen a fustigé les deux comme des « variantes d’une vision autoritaires de l’Etat et de la société ».

Après son intervention sur TF1, Jean-Luc Mélenchon a prévu d’apparaitre dans un échange avec le public sur les réseaux sociaux (Twitch, Facebook, Youtube, Twitter, Instagram, TikTok).",2020-11-09 09:33:19,6:22,Oui Ça fait des jours que la rumeur de votre candidature pour 2022 court. Je vous pose donc la question : est-ce que vous êtes candidat à l'élection présidentielle ?,"Écoutez, quand tout va mal et que ça semble être nuit noire pour beaucoup de gens qui ne trouvent pas leur compte dans la brutalité de cette société, il faut allumer une lumière pour qu’on se dise : il y a un bout au tunnel, on peut faire autrement. Et mon intention est d'aider à déconfiner les esprits, à nouveau à se projeter sur l'avenir. Alors, je ne dis pas que je sois une projection sympathique pour tout le monde, mais pour des millions de braves gens, simples, oui, c’est le cas et je les appelle à se regrouper. Alors oui, je suis prêt et je propose ma candidature. Mais, il y a un mais : je demande une investiture populaire. Par conséquent, je serais candidat définitivement si et seulement si j'ai recueilli 150 000 signatures de parrainage. À ce moment-là, je me sentirais investi par le peuple. Et bien sûr, ce n'est pas un homme qu'on investit seulement, ça n'aurait pas de sens. C'est un programme, c'est l'Avenir en commun, tout le monde le connaît.Je ne veux pas le résumer maintenant, je peux vous dire sa philosophie : l'harmonie entre les êtres humains et avec la nature. Moi je veux qu’on recommence à parler des conditions de vie sociales, de l'écosystème, des gens, comment ils vivent, qu'est-ce qu'ils attendent, leur dignité. Au lieu de passer notre temps à aller disputer sur la religion ou à essayer de les mettre au pas « métro, auto, boulot, dodo » ."
melenchon,interview,UCk-_PEY3iC6DIGJKuoEe9bw,JEAN-LUC MÉLENCHON,Rd_GGFHi-x0,Présidentielle 2022 : «Je propose ma candidature»,"« Oui, je suis prêt : je propose ma candidature ». C’est par ces mots que Jean-Luc Mélenchon a annoncé sa décision concernant l’élection présidentielle de 2022 au journal télévisé de 20h de TF1, ce dimanche 8 novembre 2020.

Une investiture populaire

Il a immédiatement assorti cette proposition de candidature d’une « condition » : celle de réunir une « investiture populaire ». Il s’agit, comme il l’a expliqué, de recueillir 150 000 parrainages citoyens. Le Président du groupe parlementaire La France Insoumise avait récemment déposé une proposition de loi à l’Assemblée nationale pour ouvrir à 150 000 personnes inscrites sur les listes électorales la possibilité de sélectionner les candidats à l’élection présidentielle, un droit réservé pour l’instant à 500 élus.

Une proposition que Jean-Luc Mélenchon a donc décidé de s’appliquer à lui même. Un site internet, « https://noussommespour.fr » a été ouvert pour permettre cette collecte de signatures. Sur TF1, l’insoumis a appelé ses soutiens à s’y rendre pour remplir le formulaire de parrainage.

Un programme de gouvernement

L’autre atout sur lequel Jean-Luc Mélenchon dit vouloir s’appuyer, c’est son programme. Une nouvelle version de l’Avenir en Commun a été mise en ligne sur le site « noussommespour.fr». Elle est ouverte aux contributions individuelles. Il est vrai que ce document avait déjà réunit 7 millions de voix dans la précédente élection présidentielle de 2017.

Depuis, il a aussi été le fil conducteur pour les 17 députés insoumis à l’Assemblée nationale et les 6 députés européens. Au cours de l’actuel quinquennat, l’Avenir en Commun a été décliné en 80 propositions de loi, 4 contre-budgets et plusieurs milliers d’amendements. De quoi conforter son statut de solide programme de gouvernement.

Se projeter sur l’avenir

Le leader insoumis a clairement donné un ton d’optimisme à sa campagne qui débute. S’il est apparu très conscient des graves problèmes traversés par le pays, comme l’épidémie de coronavirus, il a aussi déclaré vouloir aider les français à « se projeter sur l’avenir ». Pas question de peindre noir sur noir, Jean-Luc Mélenchon veut « déconfiner les esprits » et montrer « qu’il peut y avoir un bout au tunnel en vue », à l’aide de ses propositions phares comme la 6ème République ou la planification écologique. Lui qui, selon les sondages, est le mieux placé pour perturber le duo Macron/Le Pen a fustigé les deux comme des « variantes d’une vision autoritaires de l’Etat et de la société ».

Après son intervention sur TF1, Jean-Luc Mélenchon a prévu d’apparaitre dans un échange avec le public sur les réseaux sociaux (Twitch, Facebook, Youtube, Twitter, Instagram, TikTok).",2020-11-09 09:33:19,6:22,"Est-ce qu'il y a eu un débat sur votre nom au sein de la France insoumise ? 150 000 signatures, vous dites que vous voulez une légitimité populaire, mais pour quelqu'un qui a fait plus de 7 millions de voix en 2017, ce n'est finalement pas mettre la barre très haut.-C'est-à-dire que je la mets là où j'ai l'intention de la mettre dans une loi. Mon intention est que 150 000 personnes puissent avoir le pouvoir d'investir un candidat. Aujourd'hui vous savez que seuls 500 élus peuvent le faire. C'est pourquoi je commence à populariser et à entretenir cette idée que non seulement les citoyens peuvent désigner leur chef de l'État, mais en plus ils peuvent l’investir. C'est surtout ça qui est le plus important.-Il n'y avait pas d'autre candidat au sein de la France insoumise ?","Non, mais j'ai posé la question parce qu’une députée, Madame Caroline Fiat, m'a dit « pose la question : « est-ce qu'il y a d'autres candidats ? ». Personne ne s’est proposé."
melenchon,interview,UCk-_PEY3iC6DIGJKuoEe9bw,JEAN-LUC MÉLENCHON,Rd_GGFHi-x0,Présidentielle 2022 : «Je propose ma candidature»,"« Oui, je suis prêt : je propose ma candidature ». C’est par ces mots que Jean-Luc Mélenchon a annoncé sa décision concernant l’élection présidentielle de 2022 au journal télévisé de 20h de TF1, ce dimanche 8 novembre 2020.

Une investiture populaire

Il a immédiatement assorti cette proposition de candidature d’une « condition » : celle de réunir une « investiture populaire ». Il s’agit, comme il l’a expliqué, de recueillir 150 000 parrainages citoyens. Le Président du groupe parlementaire La France Insoumise avait récemment déposé une proposition de loi à l’Assemblée nationale pour ouvrir à 150 000 personnes inscrites sur les listes électorales la possibilité de sélectionner les candidats à l’élection présidentielle, un droit réservé pour l’instant à 500 élus.

Une proposition que Jean-Luc Mélenchon a donc décidé de s’appliquer à lui même. Un site internet, « https://noussommespour.fr » a été ouvert pour permettre cette collecte de signatures. Sur TF1, l’insoumis a appelé ses soutiens à s’y rendre pour remplir le formulaire de parrainage.

Un programme de gouvernement

L’autre atout sur lequel Jean-Luc Mélenchon dit vouloir s’appuyer, c’est son programme. Une nouvelle version de l’Avenir en Commun a été mise en ligne sur le site « noussommespour.fr». Elle est ouverte aux contributions individuelles. Il est vrai que ce document avait déjà réunit 7 millions de voix dans la précédente élection présidentielle de 2017.

Depuis, il a aussi été le fil conducteur pour les 17 députés insoumis à l’Assemblée nationale et les 6 députés européens. Au cours de l’actuel quinquennat, l’Avenir en Commun a été décliné en 80 propositions de loi, 4 contre-budgets et plusieurs milliers d’amendements. De quoi conforter son statut de solide programme de gouvernement.

Se projeter sur l’avenir

Le leader insoumis a clairement donné un ton d’optimisme à sa campagne qui débute. S’il est apparu très conscient des graves problèmes traversés par le pays, comme l’épidémie de coronavirus, il a aussi déclaré vouloir aider les français à « se projeter sur l’avenir ». Pas question de peindre noir sur noir, Jean-Luc Mélenchon veut « déconfiner les esprits » et montrer « qu’il peut y avoir un bout au tunnel en vue », à l’aide de ses propositions phares comme la 6ème République ou la planification écologique. Lui qui, selon les sondages, est le mieux placé pour perturber le duo Macron/Le Pen a fustigé les deux comme des « variantes d’une vision autoritaires de l’Etat et de la société ».

Après son intervention sur TF1, Jean-Luc Mélenchon a prévu d’apparaitre dans un échange avec le public sur les réseaux sociaux (Twitch, Facebook, Youtube, Twitter, Instagram, TikTok).",2020-11-09 09:33:19,6:22,François Ruffin avait dit que ça l’intéressait.,"Non mais il y a beaucoup de talents. Attention, non mais je préfère inquiéter ceux qui ne nous aiment pas. S'ils en avaient fini avec moi, il y en aura d'autres. Il y a beaucoup de talents. J'ai d'ailleurs une équipe qui est prête à gouverner. On a un programme, une équipe prête à gouverner. Tout ça est un point d'appui qui peut être rassurant. Et puis bienvenue à tous ceux qui veulent participer à cet engagement.Vous savez, 2022 c'est quand même le moment de tourner, de changer. Il y a plein de gens de toutes opinions, pas seulement les gens de ma famille politique, qui voient bien que la société est en impasse. Que ses valeurs de pacotille ne valent rien, qu'il faut qu'on tourne. Alors 2022, c'est une occasion.Nous sommes un grand pays, nous avons les moyens d'innover, de faire les choses différemment. Et puis, surtout, d'abolir la monarchie présidentielle. Mais ça, il n'y a que moi qui le propose. J'ai l'impression que les autres se verraient bien en monarque.Justement, vous parliez de la monarchie présidentielle, est-ce que vous avez l'intention de faire l'union à gauche ? Est-ce que pour être élu, la prochaine fois, vous avez besoin des écolos notamment, et est-ce que votre candidature ce soir ne ferme pas un peu la porte à tout ça ?Vous savez, d'abord j'ai pris le temps de regarder. Toutes les organisations et les partis politiques ont décidé, tous, d'avoir un candidat. Certains ont déjà plusieurs précandidats, donc les mois qui vont venir devant nous, ça va être plutôt des mois de pagaille. Et puis c'est du temps perdu, parce que c'est maintenant qu'il faut construire ce que moi je voudrais construire : une majorité pour. Vous comprenez, il y en a marre d'aller aux élections pour voter pour le moins pire. Il s'agit donc de construire quelque chose de positif, de commun, plutôt que des animosités.Alors bon, vous me parlez de la gauche, je vous dis que tout le monde a annoncé qu'ils auraient un candidat. Parfait. J'ai compris, et du coup, je m'avance. Je suis un pôle de stabilité et puis on verra chemin faisant, qui vivra, verra.Ce que je peux dire, c'est que clairement la dispersion peut nous nuire, mais la dernière fois déjà c'était là.Mais je vais vous dire, pire que tout serait la confusion : des gens qui ne seraient d'accord sur à peu près rien, mais qui donneraient l'impression, comme ça, de se mettre d'accord juste pour montrer du doigt les autres."
melenchon,interview,UCk-_PEY3iC6DIGJKuoEe9bw,JEAN-LUC MÉLENCHON,Rd_GGFHi-x0,Présidentielle 2022 : «Je propose ma candidature»,"« Oui, je suis prêt : je propose ma candidature ». C’est par ces mots que Jean-Luc Mélenchon a annoncé sa décision concernant l’élection présidentielle de 2022 au journal télévisé de 20h de TF1, ce dimanche 8 novembre 2020.

Une investiture populaire

Il a immédiatement assorti cette proposition de candidature d’une « condition » : celle de réunir une « investiture populaire ». Il s’agit, comme il l’a expliqué, de recueillir 150 000 parrainages citoyens. Le Président du groupe parlementaire La France Insoumise avait récemment déposé une proposition de loi à l’Assemblée nationale pour ouvrir à 150 000 personnes inscrites sur les listes électorales la possibilité de sélectionner les candidats à l’élection présidentielle, un droit réservé pour l’instant à 500 élus.

Une proposition que Jean-Luc Mélenchon a donc décidé de s’appliquer à lui même. Un site internet, « https://noussommespour.fr » a été ouvert pour permettre cette collecte de signatures. Sur TF1, l’insoumis a appelé ses soutiens à s’y rendre pour remplir le formulaire de parrainage.

Un programme de gouvernement

L’autre atout sur lequel Jean-Luc Mélenchon dit vouloir s’appuyer, c’est son programme. Une nouvelle version de l’Avenir en Commun a été mise en ligne sur le site « noussommespour.fr». Elle est ouverte aux contributions individuelles. Il est vrai que ce document avait déjà réunit 7 millions de voix dans la précédente élection présidentielle de 2017.

Depuis, il a aussi été le fil conducteur pour les 17 députés insoumis à l’Assemblée nationale et les 6 députés européens. Au cours de l’actuel quinquennat, l’Avenir en Commun a été décliné en 80 propositions de loi, 4 contre-budgets et plusieurs milliers d’amendements. De quoi conforter son statut de solide programme de gouvernement.

Se projeter sur l’avenir

Le leader insoumis a clairement donné un ton d’optimisme à sa campagne qui débute. S’il est apparu très conscient des graves problèmes traversés par le pays, comme l’épidémie de coronavirus, il a aussi déclaré vouloir aider les français à « se projeter sur l’avenir ». Pas question de peindre noir sur noir, Jean-Luc Mélenchon veut « déconfiner les esprits » et montrer « qu’il peut y avoir un bout au tunnel en vue », à l’aide de ses propositions phares comme la 6ème République ou la planification écologique. Lui qui, selon les sondages, est le mieux placé pour perturber le duo Macron/Le Pen a fustigé les deux comme des « variantes d’une vision autoritaires de l’Etat et de la société ».

Après son intervention sur TF1, Jean-Luc Mélenchon a prévu d’apparaitre dans un échange avec le public sur les réseaux sociaux (Twitch, Facebook, Youtube, Twitter, Instagram, TikTok).",2020-11-09 09:33:19,6:22,"Et une chose est claire ce soir, c'est que vous êtes candidat à l'élection présidentielle.","Si je recueille une investiture populaire de 150 000 membres. Alors tout le monde peut aller, dès maintenant, là, après m’avoir entendu, si ça vous intéresse, sur la plateforme internet qui s'appelle noussommespour.fr parce que « nous sommes pour »c’est le positif et c'est ça que je veux défendre, vous pouvez le faire dès maintenant."
melenchon,interview,UCk-_PEY3iC6DIGJKuoEe9bw,JEAN-LUC MÉLENCHON,Rd_GGFHi-x0,Présidentielle 2022 : «Je propose ma candidature»,"« Oui, je suis prêt : je propose ma candidature ». C’est par ces mots que Jean-Luc Mélenchon a annoncé sa décision concernant l’élection présidentielle de 2022 au journal télévisé de 20h de TF1, ce dimanche 8 novembre 2020.

Une investiture populaire

Il a immédiatement assorti cette proposition de candidature d’une « condition » : celle de réunir une « investiture populaire ». Il s’agit, comme il l’a expliqué, de recueillir 150 000 parrainages citoyens. Le Président du groupe parlementaire La France Insoumise avait récemment déposé une proposition de loi à l’Assemblée nationale pour ouvrir à 150 000 personnes inscrites sur les listes électorales la possibilité de sélectionner les candidats à l’élection présidentielle, un droit réservé pour l’instant à 500 élus.

Une proposition que Jean-Luc Mélenchon a donc décidé de s’appliquer à lui même. Un site internet, « https://noussommespour.fr » a été ouvert pour permettre cette collecte de signatures. Sur TF1, l’insoumis a appelé ses soutiens à s’y rendre pour remplir le formulaire de parrainage.

Un programme de gouvernement

L’autre atout sur lequel Jean-Luc Mélenchon dit vouloir s’appuyer, c’est son programme. Une nouvelle version de l’Avenir en Commun a été mise en ligne sur le site « noussommespour.fr». Elle est ouverte aux contributions individuelles. Il est vrai que ce document avait déjà réunit 7 millions de voix dans la précédente élection présidentielle de 2017.

Depuis, il a aussi été le fil conducteur pour les 17 députés insoumis à l’Assemblée nationale et les 6 députés européens. Au cours de l’actuel quinquennat, l’Avenir en Commun a été décliné en 80 propositions de loi, 4 contre-budgets et plusieurs milliers d’amendements. De quoi conforter son statut de solide programme de gouvernement.

Se projeter sur l’avenir

Le leader insoumis a clairement donné un ton d’optimisme à sa campagne qui débute. S’il est apparu très conscient des graves problèmes traversés par le pays, comme l’épidémie de coronavirus, il a aussi déclaré vouloir aider les français à « se projeter sur l’avenir ». Pas question de peindre noir sur noir, Jean-Luc Mélenchon veut « déconfiner les esprits » et montrer « qu’il peut y avoir un bout au tunnel en vue », à l’aide de ses propositions phares comme la 6ème République ou la planification écologique. Lui qui, selon les sondages, est le mieux placé pour perturber le duo Macron/Le Pen a fustigé les deux comme des « variantes d’une vision autoritaires de l’Etat et de la société ».

Après son intervention sur TF1, Jean-Luc Mélenchon a prévu d’apparaitre dans un échange avec le public sur les réseaux sociaux (Twitch, Facebook, Youtube, Twitter, Instagram, TikTok).",2020-11-09 09:33:19,6:22,Merci beaucoup.,C'est moi qui vous remercie de m'avoir donné cette occasion de m’exprimer devant autant de monde.
melenchon,interview,UCk-_PEY3iC6DIGJKuoEe9bw,JEAN-LUC MÉLENCHON,Rd_GGFHi-x0,Présidentielle 2022 : «Je propose ma candidature»,"« Oui, je suis prêt : je propose ma candidature ». C’est par ces mots que Jean-Luc Mélenchon a annoncé sa décision concernant l’élection présidentielle de 2022 au journal télévisé de 20h de TF1, ce dimanche 8 novembre 2020.

Une investiture populaire

Il a immédiatement assorti cette proposition de candidature d’une « condition » : celle de réunir une « investiture populaire ». Il s’agit, comme il l’a expliqué, de recueillir 150 000 parrainages citoyens. Le Président du groupe parlementaire La France Insoumise avait récemment déposé une proposition de loi à l’Assemblée nationale pour ouvrir à 150 000 personnes inscrites sur les listes électorales la possibilité de sélectionner les candidats à l’élection présidentielle, un droit réservé pour l’instant à 500 élus.

Une proposition que Jean-Luc Mélenchon a donc décidé de s’appliquer à lui même. Un site internet, « https://noussommespour.fr » a été ouvert pour permettre cette collecte de signatures. Sur TF1, l’insoumis a appelé ses soutiens à s’y rendre pour remplir le formulaire de parrainage.

Un programme de gouvernement

L’autre atout sur lequel Jean-Luc Mélenchon dit vouloir s’appuyer, c’est son programme. Une nouvelle version de l’Avenir en Commun a été mise en ligne sur le site « noussommespour.fr». Elle est ouverte aux contributions individuelles. Il est vrai que ce document avait déjà réunit 7 millions de voix dans la précédente élection présidentielle de 2017.

Depuis, il a aussi été le fil conducteur pour les 17 députés insoumis à l’Assemblée nationale et les 6 députés européens. Au cours de l’actuel quinquennat, l’Avenir en Commun a été décliné en 80 propositions de loi, 4 contre-budgets et plusieurs milliers d’amendements. De quoi conforter son statut de solide programme de gouvernement.

Se projeter sur l’avenir

Le leader insoumis a clairement donné un ton d’optimisme à sa campagne qui débute. S’il est apparu très conscient des graves problèmes traversés par le pays, comme l’épidémie de coronavirus, il a aussi déclaré vouloir aider les français à « se projeter sur l’avenir ». Pas question de peindre noir sur noir, Jean-Luc Mélenchon veut « déconfiner les esprits » et montrer « qu’il peut y avoir un bout au tunnel en vue », à l’aide de ses propositions phares comme la 6ème République ou la planification écologique. Lui qui, selon les sondages, est le mieux placé pour perturber le duo Macron/Le Pen a fustigé les deux comme des « variantes d’une vision autoritaires de l’Etat et de la société ».

Après son intervention sur TF1, Jean-Luc Mélenchon a prévu d’apparaitre dans un échange avec le public sur les réseaux sociaux (Twitch, Facebook, Youtube, Twitter, Instagram, TikTok).",2020-11-09 09:33:19,6:22,"En tout cas les réactions à votre candidature sont évidemment à suivre sur LCI, canal 26 toute la soirée. ",Elles sont prévisibles.
